Name,Tags,Source,URL
incubi-sg,recensioni,The StoryGraph (https://www.notion.so/The-StoryGraph-fcd3c59770ad4bbaba09a7f8a98bb492?pvs=21),https://app.thestorygraph.com/books/be3368ac-b1ad-4d93-941e-aaedd7ea929e
incubi-gr,recensioni,GoodReads (https://www.notion.so/GoodReads-e39f59fe7d434e84b0d13a5de4496d11?pvs=21),https://www.goodreads.com/book/show/83822544-gli-incubi-di-chi-non-dorme
liwaria-stress,instagram,LettriceStressata (https://www.notion.so/LettriceStressata-4e1829e79e254440bb6da20475ec403e?pvs=21),https://www.instagram.com/p/CsIu5L-omeg/
pugnale-amazon,acquista,Amazon (https://www.notion.so/Amazon-5d628979635c461ba31386893441b222?pvs=21),https://www.amazon.it/pugnale-dei-poeti-gheppio-classico/dp/B0CJVNYMMP/
pugnale-gr,recensioni,GoodReads (https://www.notion.so/GoodReads-e39f59fe7d434e84b0d13a5de4496d11?pvs=21),https://www.goodreads.com/book/show/199875745-il-pugnale-dei-poeti
pugnale-sg,recensioni,The StoryGraph (https://www.notion.so/The-StoryGraph-fcd3c59770ad4bbaba09a7f8a98bb492?pvs=21),https://app.thestorygraph.com/books/594bcabf-1357-4fe0-964e-522014dfacd5
tsunami-stress,instagram,LettriceStressata (https://www.notion.so/LettriceStressata-4e1829e79e254440bb6da20475ec403e?pvs=21),https://www.instagram.com/p/C1EZBC1sv1-
tsunami-amazon,acquista,Amazon (https://www.notion.so/Amazon-5d628979635c461ba31386893441b222?pvs=21),https://www.amazon.it/Tsunami-Marco-Romani/dp/8855420992/
tsunami-gr,recensioni,GoodReads (https://www.notion.so/GoodReads-e39f59fe7d434e84b0d13a5de4496d11?pvs=21),https://www.goodreads.com/book/show/156018735-tsunami
tsunami-sg,recensioni,The StoryGraph (https://www.notion.so/The-StoryGraph-fcd3c59770ad4bbaba09a7f8a98bb492?pvs=21),https://app.thestorygraph.com/books/3a6e5a6c-1af2-4cfd-9018-3d9a9d246ef9
tsunami-spaghetti,instagram,Spaghetti Fantasy (https://www.notion.so/Spaghetti-Fantasy-269cb7b837f24ffd819af56384a07b5b?pvs=21),https://www.instagram.com/p/C3Xt48lMuBZ/
